owner_type,owner_id,parameter,low,base,high,unit,confidence,last_updated,influence_probability,research_priority,methodology,evidence_ids,confirming_evidence,falsifying_evidence
odm,illustrative-odm-b,rack_integration_capacity,125.0,170.0,225.0,rack,0.2,2026-07-19,0.321953229298602,0.2575625834388816,Illustrative gross rack-integration starts for the second declared ODM scope.,synthetic:assembly-capacity,"Rack-station cycle time, shifts, burn-in slots, and WIP support the range.",Verified integrated-rack output falls outside the range.
odm,illustrative-odm-b,rack_integration_effective_yield,0.86,0.93,0.98,ratio,0.2,2026-07-19,0.321953229298602,0.2575625834388816,Illustrative rack integration and factory-test completion yield.,synthetic:assembly-capacity,"Rack bring-up, rework, and acceptance records support the range.",Factory test records show materially different completion yield.
odm,illustrative-odm-b,rack_platform_qualified_share,0.7,0.8,0.9,ratio,0.2,2026-07-19,0.321953229298602,0.2575625834388816,Illustrative share of completed racks passing the selected platform configuration gate.,synthetic:assembly-capacity,Configuration and qualification records support the share.,Factory acceptance records imply a different qualification share.
odm,illustrative-odm-c,compute_tray_customer_allocation_share,0.68,0.79,0.9,ratio,0.15,2026-07-19,0.17339388153373758,0.14738479930367693,Illustrative customer allocation after platform qualification.,synthetic:assembly-capacity,Allocation ledgers and serialized shipment destinations support the share.,Customer routing records show a materially different allocation.
odm,illustrative-odm-c,rack_customer_allocation_share,0.69,0.8,0.91,ratio,0.15,2026-07-19,0.17339388153373758,0.14738479930367693,Illustrative selected-customer allocation of qualified rack output.,synthetic:assembly-capacity,Serialized rack allocation and shipment ledgers support the share.,Allocation or shipment records show a materially different share.
odm,illustrative-odm-c,compute_tray_capacity,1450.0,1950.0,2550.0,tray,0.2,2026-07-19,0.17339388153373758,0.13871510522699007,Illustrative gross compute-tray starts for a third declared ODM scope.,synthetic:assembly-capacity,"Line-level starts, station cycle times, shifts, and WIP records support the range.",Verified line output or serialized tray receipts fall outside the range.
odm,illustrative-odm-c,compute_tray_effective_yield,0.84,0.91,0.96,ratio,0.2,2026-07-19,0.17339388153373758,0.13871510522699007,Illustrative post-assembly and functional-test tray yield.,synthetic:assembly-capacity,"First-pass yield, rework, scrap, and acceptance records support the range.",Factory quality data show materially different sellable yield.
odm,illustrative-odm-c,compute_tray_platform_qualified_share,0.62,0.74,0.86,ratio,0.2,2026-07-19,0.17339388153373758,0.13871510522699007,Illustrative share of good trays qualified for the selected GB200 rack scope.,synthetic:assembly-capacity,Qualification lots and accepted configuration records support the share.,Qualification or configuration records imply a different share.
odm,illustrative-odm-c,rack_integration_capacity,70.0,105.0,145.0,rack,0.2,2026-07-19,0.17339388153373758,0.13871510522699007,Illustrative gross rack-integration starts for the third declared ODM scope.,synthetic:assembly-capacity,"Rack-station cycle time, shifts, burn-in slots, and WIP support the range.",Verified integrated-rack output falls outside the range.
odm,illustrative-odm-c,rack_integration_effective_yield,0.83,0.91,0.97,ratio,0.2,2026-07-19,0.17339388153373758,0.13871510522699007,Illustrative rack integration and factory-test completion yield.,synthetic:assembly-capacity,"Rack bring-up, rework, and acceptance records support the range.",Factory test records show materially different completion yield.
odm,illustrative-odm-c,rack_platform_qualified_share,0.64,0.76,0.88,ratio,0.2,2026-07-19,0.17339388153373758,0.13871510522699007,Illustrative share of completed racks passing the selected platform configuration gate.,synthetic:assembly-capacity,Configuration and qualification records support the share.,Factory acceptance records imply a different qualification share.
component,bluefield3-dpus,customer_allocation_share,0.82,0.89,0.95,ratio,0.15,2026-07-19,0.0,0.0425,Illustrative platform/customer allocation.,synthetic:assembly-capacity,Allocation records support the share.,Shipment routing implies another share.
component,connectx7-nics,customer_allocation_share,0.82,0.89,0.95,ratio,0.15,2026-07-19,0.0,0.0425,Illustrative platform/customer allocation.,synthetic:assembly-capacity,Allocation records support the share.,Shipment routing implies another share.
component,liquid-cooling-integration,customer_allocation_share,0.9,0.97,1.0,ratio,0.15,2026-07-19,0.013,0.0425,Illustrative customer allocation.,synthetic:assembly-capacity,Allocation records support the share.,Routing records imply another share.
component,management-tor-switches,customer_allocation_share,0.86,0.92,0.97,ratio,0.15,2026-07-19,0.0,0.0425,Illustrative customer allocation.,synthetic:assembly-capacity,Allocation records support the share.,Routing records imply another share.
component,nvlink-switch-trays,customer_allocation_share,0.86,0.92,0.97,ratio,0.15,2026-07-19,0.0044,0.0425,Illustrative customer allocation.,synthetic:assembly-capacity,Allocation records support the share.,Routing records imply another share.
component,power-shelves,customer_allocation_share,0.86,0.92,0.97,ratio,0.15,2026-07-19,0.0,0.0425,Illustrative customer allocation.,synthetic:assembly-capacity,Allocation records support the share.,Routing records imply another share.
component,bluefield3-dpus,capacity,15500.0,19000.0,23000.0,DPU,0.2,2026-07-19,0.0,0.04000000000000001,"Illustrative quarterly component input, not actual output.",synthetic:assembly-capacity,Supplier sellable output and allocation records support the range.,Verified output or allocations fall outside the range.
component,bluefield3-dpus,effective_yield,0.96,0.985,0.997,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative final-test yield.,synthetic:assembly-capacity,Final-test and RMA data support the range.,Quality data show a different yield.
component,bluefield3-dpus,platform_qualified_share,0.9,0.96,0.99,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative GB200-compatible share.,synthetic:assembly-capacity,Qualified SKU records support the share.,Qualification records imply another share.
component,connectx7-nics,capacity,30000.0,37000.0,45000.0,NIC,0.2,2026-07-19,0.0,0.04000000000000001,"Illustrative quarterly component input, not actual output.",synthetic:assembly-capacity,Supplier sellable output and allocation records support the range.,Verified output or allocations fall outside the range.
component,connectx7-nics,effective_yield,0.96,0.98,0.995,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative final-test yield.,synthetic:assembly-capacity,Final-test and RMA data support the range.,Quality data show a different yield.
component,connectx7-nics,platform_qualified_share,0.9,0.96,0.99,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative GB200-compatible share.,synthetic:assembly-capacity,Qualified SKU records support the share.,Qualification records imply another share.
component,liquid-cooling-integration,capacity,380.0,465.0,560.0,rack_cooling_set,0.2,2026-07-19,0.013,0.04000000000000001,Illustrative quarterly rack-side cooling integration input.,synthetic:assembly-capacity,Supplier and integrator output supports the range.,Verified output falls outside the range.
component,liquid-cooling-integration,effective_yield,0.88,0.94,0.98,ratio,0.2,2026-07-19,0.013,0.04000000000000001,Illustrative integration and leak-test yield.,synthetic:assembly-capacity,Acceptance and leak-test data support the range.,Quality data show another yield.
component,liquid-cooling-integration,platform_qualified_share,0.9,0.96,0.99,ratio,0.2,2026-07-19,0.013,0.04000000000000001,Illustrative GB200-compatible share.,synthetic:assembly-capacity,Qualification records support the share.,Qualification records imply another share.
component,management-tor-switches,capacity,900.0,1150.0,1400.0,switch,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative quarterly management-switch input.,synthetic:assembly-capacity,Supplier output supports the range.,Verified output falls outside the range.
component,management-tor-switches,effective_yield,0.97,0.99,0.999,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative final-test yield.,synthetic:assembly-capacity,Final-test data support the range.,Quality data show another yield.
component,management-tor-switches,platform_qualified_share,0.9,0.96,0.99,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative qualified share.,synthetic:assembly-capacity,Qualification records support the share.,Qualification records imply another share.
component,nvlink-switch-trays,capacity,3600.0,4400.0,5200.0,switch_tray,0.2,2026-07-19,0.0044,0.04000000000000001,Illustrative quarterly switch-tray input.,synthetic:assembly-capacity,Supplier sellable output supports the range.,Verified output falls outside the range.
component,nvlink-switch-trays,effective_yield,0.93,0.97,0.99,ratio,0.2,2026-07-19,0.0044,0.04000000000000001,Illustrative final-test yield.,synthetic:assembly-capacity,Final-test data support the range.,Quality data show another yield.
component,nvlink-switch-trays,platform_qualified_share,0.9,0.96,0.99,ratio,0.2,2026-07-19,0.0044,0.04000000000000001,Illustrative qualified share.,synthetic:assembly-capacity,Qualification records support the share.,Qualification records imply another share.
component,power-shelves,capacity,3500.0,4200.0,5000.0,power_shelf,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative quarterly power-shelf input.,synthetic:assembly-capacity,Supplier output supports the range.,Verified output falls outside the range.
component,power-shelves,effective_yield,0.96,0.985,0.997,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative final-test yield.,synthetic:assembly-capacity,Final-test data support the range.,Quality data show another yield.
component,power-shelves,platform_qualified_share,0.9,0.96,0.99,ratio,0.2,2026-07-19,0.0,0.04000000000000001,Illustrative qualified share.,synthetic:assembly-capacity,Qualification records support the share.,Qualification records imply another share.
