owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
constraint,rack-logistics,capacity,365.0,450.0,540.0,shipment_slot,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,logistics
constraint,rack-logistics,effective_yield,0.96,0.985,0.997,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,logistics
constraint,rack-logistics,platform_allocation,1.0,1.0,1.0,ratio,derived,1.0,2026-07-17,Shipment capacity is already scoped to qualified rack systems.,synthetic:capacity,The capacity definition remains on the stated post-adjustment basis.,The capacity input is redefined to a pre-yield or pre-allocation basis.,
constraint,rack-logistics,units_per_system,1.0,1.0,1.0,shipment_slot,synthetic,0.35,2026-07-17,One specialized shipment slot per rack-scale system.,synthetic:capacity,Freight bookings and delivery records support one slot per system.,Observed shipment topology requires materially different logistics units.,
constraint,site-installation,capacity,330.0,410.0,500.0,installation_slot,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,site-readiness
constraint,site-installation,effective_yield,0.92,0.96,0.99,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,site-readiness
constraint,site-installation,platform_allocation,1.0,1.0,1.0,ratio,derived,1.0,2026-07-17,Installation slots are already scoped to the modeled system.,synthetic:capacity,The capacity definition remains on the stated post-adjustment basis.,The capacity input is redefined to a pre-yield or pre-allocation basis.,
constraint,site-installation,units_per_system,1.0,1.0,1.0,installation_slot,synthetic,0.35,2026-07-17,One physical installation and facility-integration slot per rack-scale system.,synthetic:capacity,Site commissioning records support one slot per system.,Observed installation flow requires materially different units.,
constraint,linked-abilene-operational-racks,capacity,68.22967239651236,433.4400086329962,602.8810012330047,rack,synthetic,0.1,2026-07-17,"Import datacenter_operational operational_racks from frozen result 000a0804e1b8076de18afec1a1cd3de029abd62c1bdaf200ff09fa7e3717568e. The source P10, P50, and P90 are used as triangular low, mode, and high parameters in the linked engine. This preserves the central range but does not preserve source tails, point masses, or joint dependence.",linked-result:datacenter_operational:000a0804e1b8,"A frozen site-operational release for the same site, platform class, and quarter supports the operational-rack range.","The site scope or rack class differs, the source result is revised, or rack-level acceptance records fall outside the range.",linked:datacenter_operational:000a0804e1b8:operational_racks
constraint,linked-abilene-operational-racks,effective_yield,1.0,1.0,1.0,ratio,derived,0.1,2026-07-17,The frozen source output is already post-yield.,linked-result:datacenter_operational:000a0804e1b8,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-abilene-operational-racks,platform_allocation,1.0,1.0,1.0,ratio,derived,0.1,2026-07-17,The frozen source output is already scoped to this linked constraint.,linked-result:datacenter_operational:000a0804e1b8,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-abilene-operational-racks,units_per_system,1.0,1.0,1.0,rack,derived,0.1,2026-07-17,Convert the frozen source metric into scenario-system equivalents using 1 rack per system.,linked-result:datacenter_operational:000a0804e1b8,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-abilene-complete-rack-allocation,capacity,270.6608944898074,298.8618612699695,328.27801142439046,rack,synthetic,0.15,2026-07-19,"Import system_assembly complete_racks from frozen result f666d57c9673848d5bb97b28d59ef3c1069236656528c2751105e3b09bbf71a6. The source P10, P50, and P90 are used as triangular low, mode, and high parameters in the linked engine. This preserves the central range but does not preserve source tails, point masses, or joint dependence.",linked-result:system_assembly:f666d57c9673,"Customer allocation, purchase-order, logistics, or receiving records support this share of frozen complete-rack output moving to the selected site.",Allocation or receiving records show a materially different site share or that the assembly source covers a different supply scope.,linked:system_assembly:f666d57c9673:complete_racks
constraint,linked-abilene-complete-rack-allocation,effective_yield,1.0,1.0,1.0,ratio,derived,0.15,2026-07-19,The frozen source output is already post-yield.,linked-result:system_assembly:f666d57c9673,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-abilene-complete-rack-allocation,platform_allocation,0.04,0.06,0.08,ratio,synthetic,0.1,2026-07-19,Synthetic share chosen only to exercise a customer-and-site allocation boundary after complete-rack assembly.,synthetic:abilene-site-allocation,Dated customer allocation and site receiving records support a six-percent central share for the same complete-rack population.,"Shipment destinations, purchase orders, or receiving logs put the selected site's share outside four to eight percent.",abilene-site-allocation
constraint,linked-abilene-complete-rack-allocation,units_per_system,1.0,1.0,1.0,rack,derived,0.15,2026-07-19,Convert the frozen source metric into scenario-system equivalents using 1 rack per system.,linked-result:system_assembly:f666d57c9673,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
platform,nvidia-gb200-nvl72,accelerator_packages_per_system,72.0,72.0,72.0,package/system,derived,0.82,2026-07-17,Treats each disclosed Blackwell GPU as one accelerator package for the first-release output metric.,nvidia:gb200-product,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A manufacturing BOM uses a different package or module definition.,
platform,nvidia-gb200-nvl72,servers_per_system,18.0,18.0,18.0,server/system,reported,0.98,2026-07-17,Treats each of the 18 disclosed compute trays as one server node.,nvidia:dgx-gb-hardware,A current NVIDIA BOM or service manual reports the same configuration.,A current rack specification reports a different compute-node count.,
platform,nvidia-gb200-nvl72,racks_per_system,1.0,1.0,1.0,rack/system,reported,0.98,2026-07-17,The platform system unit is one NVL72 rack.,nvidia:gb200-product,A current NVIDIA BOM or service manual reports the same configuration.,The modeled system boundary changes from one rack.,
