owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
company,micron-illustrative,rest_of_company_revenue,7000000000.0,9000000000.0,11000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative MU rest-of-company quarterly revenue; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the MU rest-of-company quarterly revenue range.","A dated, scope-comparable source places MU rest-of-company quarterly revenue outside the range.",mu-company-demand
company,micron-illustrative,rest_of_company_gross_margin,0.38,0.46,0.53,ratio,synthetic,0.3,2026-07-19,"Illustrative MU rest-of-company gross margin; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the MU rest-of-company gross margin range.","A dated, scope-comparable source places MU rest-of-company gross margin outside the range.",
company,micron-illustrative,operating_expenses,3200000000.0,3600000000.0,4000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative MU quarterly operating expenses; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the MU quarterly operating expenses range.","A dated, scope-comparable source places MU quarterly operating expenses outside the range.",
company,micron-illustrative,net_nonoperating_expense,100000000.0,200000000.0,350000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative MU quarterly net nonoperating expense; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the MU quarterly net nonoperating expense range.","A dated, scope-comparable source places MU quarterly net nonoperating expense outside the range.",
company,micron-illustrative,tax_rate,0.1,0.14,0.18,ratio,synthetic,0.3,2026-07-19,"Illustrative MU effective tax rate; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the MU effective tax rate range.","A dated, scope-comparable source places MU effective tax rate outside the range.",
company,micron-illustrative,diluted_shares,1100000000.0,1130000000.0,1160000000.0,share,synthetic,0.3,2026-07-19,"Illustrative MU diluted share count; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the MU diluted share count range.","A dated, scope-comparable source places MU diluted share count outside the range.",
consensus,micron-illustrative,revenue,12000000000.0,14000000000.0,16000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative MU same-quarter consensus revenue comparator; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the MU same-quarter consensus revenue comparator range.","A dated, scope-comparable source places MU same-quarter consensus revenue comparator outside the range.",
consensus,micron-illustrative,eps,2.8,3.4,4.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative MU same-quarter consensus EPS comparator; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the MU same-quarter consensus EPS comparator range.","A dated, scope-comparable source places MU same-quarter consensus EPS comparator outside the range.",
market_snapshot,micron-illustrative,price,180.0,205.0,230.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative MU share price; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the MU share price range.","A dated, scope-comparable source places MU share price outside the range.",
market_snapshot,micron-illustrative,next_twelve_month_eps,12.0,15.0,18.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative MU next-twelve-month EPS; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the MU next-twelve-month EPS range.","A dated, scope-comparable source places MU next-twelve-month EPS outside the range.",
market_snapshot,micron-illustrative,market_cap,200000000000.0,230000000000.0,260000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative MU market capitalization; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the MU market capitalization range.","A dated, scope-comparable source places MU market capitalization outside the range.",
opportunity,micron-illustrative,confidence,0.15,0.25,0.35,ratio,synthetic,0.3,2026-07-19,"Illustrative MU research confidence; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the MU research confidence range.","A dated, scope-comparable source places MU research confidence outside the range.",
opportunity,micron-illustrative,evidence_readiness,0.05,0.1,0.15,ratio,synthetic,0.3,2026-07-19,"Illustrative MU evidence readiness; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the MU evidence readiness range.","A dated, scope-comparable source places MU evidence readiness outside the range.",
opportunity,micron-illustrative,liquidity,0.8,0.9,0.95,ratio,synthetic,0.3,2026-07-19,"Illustrative MU liquidity factor; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the MU liquidity factor range.","A dated, scope-comparable source places MU liquidity factor outside the range.",
opportunity,micron-illustrative,catalyst_proximity,0.55,0.7,0.85,ratio,synthetic,0.3,2026-07-19,"Illustrative MU catalyst proximity; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the MU catalyst proximity range.","A dated, scope-comparable source places MU catalyst proximity outside the range.",
opportunity,micron-illustrative,downside_resilience,0.25,0.4,0.55,ratio,synthetic,0.3,2026-07-19,"Illustrative MU downside resilience; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the MU downside resilience range.","A dated, scope-comparable source places MU downside resilience outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,units_per_source_unit,1.0,1.0,1.0,package-service/package,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue units per physical source unit; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue units per physical source unit range.","A dated, scope-comparable source places Illustrative advanced-package service revenue units per physical source unit outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,attributable_share,0.8,0.9,1.0,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue supplier attribution; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue supplier attribution range.","A dated, scope-comparable source places Illustrative advanced-package service revenue supplier attribution outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,beginning_inventory_units,0.0,0.0,0.0,package-service,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue beginning inventory; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue beginning inventory range.","A dated, scope-comparable source places Illustrative advanced-package service revenue beginning inventory outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,ending_inventory_units,0.0,0.0,0.0,package-service,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue ending inventory; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue ending inventory range.","A dated, scope-comparable source places Illustrative advanced-package service revenue ending inventory outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,revenue_recognition_share,0.9,0.97,1.0,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue current-quarter recognition share; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue current-quarter recognition share range.","A dated, scope-comparable source places Illustrative advanced-package service revenue current-quarter recognition share outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,unit_price_local,3500.0,5500.0,7500.0,USD/package-service,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue unit price; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue unit price range.","A dated, scope-comparable source places Illustrative advanced-package service revenue unit price outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,fx_usd_per_local,1.0,1.0,1.0,USD/USD,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue USD conversion; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue USD conversion range.","A dated, scope-comparable source places Illustrative advanced-package service revenue USD conversion outside the range.",
line_item,tsmc-illustrative:tsmc-blackwell-packaging,gross_margin,0.48,0.55,0.6,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative advanced-package service revenue gross margin; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative advanced-package service revenue gross margin range.","A dated, scope-comparable source places Illustrative advanced-package service revenue gross margin outside the range.",
company,tsmc-illustrative,rest_of_company_revenue,27000000000.0,31000000000.0,35000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative TSM rest-of-company quarterly revenue; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the TSM rest-of-company quarterly revenue range.","A dated, scope-comparable source places TSM rest-of-company quarterly revenue outside the range.",tsm-company-demand
company,tsmc-illustrative,rest_of_company_gross_margin,0.52,0.57,0.61,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM rest-of-company gross margin; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the TSM rest-of-company gross margin range.","A dated, scope-comparable source places TSM rest-of-company gross margin outside the range.",
company,tsmc-illustrative,operating_expenses,5000000000.0,5800000000.0,6600000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative TSM quarterly operating expenses; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the TSM quarterly operating expenses range.","A dated, scope-comparable source places TSM quarterly operating expenses outside the range.",
company,tsmc-illustrative,net_nonoperating_expense,0.0,150000000.0,350000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative TSM quarterly net nonoperating expense; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the TSM quarterly net nonoperating expense range.","A dated, scope-comparable source places TSM quarterly net nonoperating expense outside the range.",
company,tsmc-illustrative,tax_rate,0.16,0.19,0.22,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM effective tax rate; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the TSM effective tax rate range.","A dated, scope-comparable source places TSM effective tax rate outside the range.",
company,tsmc-illustrative,diluted_shares,5150000000.0,5200000000.0,5250000000.0,share,synthetic,0.3,2026-07-19,"Illustrative TSM diluted share count; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the TSM diluted share count range.","A dated, scope-comparable source places TSM diluted share count outside the range.",
consensus,tsmc-illustrative,revenue,31000000000.0,34000000000.0,37000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative TSM same-quarter consensus revenue comparator; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the TSM same-quarter consensus revenue comparator range.","A dated, scope-comparable source places TSM same-quarter consensus revenue comparator outside the range.",
consensus,tsmc-illustrative,eps,2.0,2.3,2.6,USD/share,synthetic,0.3,2026-07-19,"Illustrative TSM same-quarter consensus EPS comparator; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the TSM same-quarter consensus EPS comparator range.","A dated, scope-comparable source places TSM same-quarter consensus EPS comparator outside the range.",
market_snapshot,tsmc-illustrative,price,330.0,365.0,400.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative TSM share price; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the TSM share price range.","A dated, scope-comparable source places TSM share price outside the range.",
market_snapshot,tsmc-illustrative,next_twelve_month_eps,9.0,10.5,12.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative TSM next-twelve-month EPS; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the TSM next-twelve-month EPS range.","A dated, scope-comparable source places TSM next-twelve-month EPS outside the range.",
market_snapshot,tsmc-illustrative,market_cap,850000000000.0,950000000000.0,1050000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative TSM market capitalization; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the TSM market capitalization range.","A dated, scope-comparable source places TSM market capitalization outside the range.",
opportunity,tsmc-illustrative,confidence,0.15,0.25,0.35,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM research confidence; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the TSM research confidence range.","A dated, scope-comparable source places TSM research confidence outside the range.",
opportunity,tsmc-illustrative,evidence_readiness,0.05,0.1,0.15,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM evidence readiness; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the TSM evidence readiness range.","A dated, scope-comparable source places TSM evidence readiness outside the range.",
opportunity,tsmc-illustrative,liquidity,0.75,0.85,0.92,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM liquidity factor; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the TSM liquidity factor range.","A dated, scope-comparable source places TSM liquidity factor outside the range.",
opportunity,tsmc-illustrative,catalyst_proximity,0.45,0.6,0.75,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM catalyst proximity; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the TSM catalyst proximity range.","A dated, scope-comparable source places TSM catalyst proximity outside the range.",
opportunity,tsmc-illustrative,downside_resilience,0.3,0.45,0.6,ratio,synthetic,0.3,2026-07-19,"Illustrative TSM downside resilience; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the TSM downside resilience range.","A dated, scope-comparable source places TSM downside resilience outside the range.",
